Year,Grid_CO2e_g_kWh,EV_CO2e_g_per_vehicle_km,EV_CO2e_g_per_vehicle_km_buses,EV_CO2e_g_per_vehicle_km_trains,Source
2007,420.0,76.7137897933246,479.5625226277475,1966.3962325314847,Linear interpolation (1990-2014 trend)
2008,386.0,70.5036258576745,440.74079460550126,1807.2117756122693,Linear interpolation (2007-2014)
2009,352.0,64.29346192202442,401.9190665832551,1648.027318693054,Linear interpolation (2007-2014)
2010,318.0,58.08329798637433,363.0973385610088,1488.8428617738384,Linear interpolation (2007-2014)
2011,284.0,51.873134050724246,324.2756105387626,1329.658404854623,Linear interpolation (2007-2014)
2012,250.0,45.66297011507416,285.4538825165164,1170.4739479354075,Linear interpolation (2007-2014)
2013,216.0,39.45280617942408,246.63215449427014,1011.2894910161922,Linear interpolation (2007-2014)
2014,182.0,33.24264224377399,207.81042647202392,852.1050340969767,Wikipedia citing Energinet (182 g/kWh in 2014)
2015,206.8,37.77240887918935,236.12745161766236,968.2160497321693,Linear interpolation (2014-2018)
2016,231.5,42.283910326558676,264.33029521029414,1083.8588757881873,Linear interpolation (2014-2018)
2017,256.2,46.795411773928,292.533138802926,1199.5017018442056,Linear interpolation (2014-2018)
2018,281.0,51.32517840934336,320.8501639485644,1315.612717479398,Nowtricity (ENTSO-E data)
2019,216.0,39.45280617942408,246.63215449427014,1011.2894910161922,Nowtricity (ENTSO-E data)
2020,212.0,38.72219865758289,242.0648923740059,992.5619078492257,Nowtricity (ENTSO-E data)
2021,260.0,47.48948891967713,296.87203781717704,1217.2929058528239,Nowtricity (ENTSO-E data)
2022,219.0,40.00076182080497,250.05760108446836,1025.335178391417,Nowtricity (ENTSO-E data)
2023,185.0,33.79059788515488,211.2358730622221,866.1507214722017,Nowtricity (ENTSO-E data)
2024,173.0,31.598775319631322,197.53408670142935,809.9679719713021,Nowtricity (ENTSO-E data)
2025,152.5,27.854411770195238,174.126868335075,713.9891082405986,Projection (linear to 2030 target of 50 g/kWh)
2026,132.0,24.110048220759158,150.71964996872066,618.0102445098952,Projection (linear to 2030 target of 50 g/kWh)
2027,111.5,20.365684671323077,127.3124316023663,522.0313807791917,Projection (linear to 2030 target of 50 g/kWh)
2028,91.0,16.621321121886997,103.90521323601196,426.05251704848837,Projection (linear to 2030 target of 50 g/kWh)
2029,70.5,12.876957572450914,80.49799486965762,330.07365331778493,Projection (linear to 2030 target of 50 g/kWh)
2030,50.0,9.132594023014832,57.090776503303275,234.09478958708152,Projection (linear to 2030 target of 50 g/kWh)
2031,47.0,8.584638381633942,53.665329913105076,220.04910221185662,Projection (linear 2030-2040)
2032,44.0,8.036682740253053,50.239883322906884,206.00341483663175,Projection (linear 2030-2040)
2033,41.0,7.488727098872163,46.814436732708685,191.95772746140685,Projection (linear 2030-2040)
2034,38.0,6.940771457491273,43.38899014251049,177.91204008618195,Projection (linear 2030-2040)
2035,35.0,6.3928158161103825,39.963543552312295,163.86635271095707,Projection (linear 2030-2040)
2036,32.0,5.844860174729493,36.538096962114096,149.82066533573217,Projection (linear 2030-2040)
2037,29.0,5.296904533348603,33.1126503719159,135.77497796050727,Projection (linear 2030-2040)
2038,26.0,4.7489488919677125,29.687203781717702,121.72929058528238,Projection (linear 2030-2040)
2039,23.0,4.200993250586823,26.261757191519507,107.6836032100575,Projection (linear 2030-2040)
2040,20.0,3.653037609205933,22.83631060132131,93.63791583483261,Projection (linear 2030-2040)
