Year,EV_Share,EV_Percentage,Data_Type
2007,4.607035796891836e-12,4.607035796891836e-10,Historical
2008,4.6081417524525225e-11,4.608141752452522e-09,Historical
2009,4.3683955367500844e-10,4.3683955367500846e-08,Historical
2010,3.878889746873979e-09,3.8788897468739794e-07,Historical
2011,3.1835779003709376e-08,3.1835779003709375e-06,Historical
2012,2.3804182647511567e-07,2.3804182647511567e-05,Historical
2013,1.5971867412645735e-06,0.00015971867412645734,Historical
2014,9.474653840566612e-06,0.0009474653840566612,Historical
2015,4.9023721897027184e-05,0.004902372189702718,Historical
2016,0.000218846065288728,0.0218846065288728,Historical
2017,0.000836830065969428,0.0836830065969428,Historical
2018,0.0027337594863280973,0.27337594863280973,Historical
2019,0.0076469077090739485,0.7646907709073949,Historical
2020,0.01844137708589561,1.844137708589561,Historical
2021,0.03875420265300436,3.875420265300436,Historical
2022,0.07192235455622058,7.192235455622058,Historical
2023,0.11963563122612991,11.96356312261299,Historical
2024,0.18108429240572055,18.108429240572054,Historical
2025,0.2530750750325116,25.30750750325116,Projected
2026,0.3309637769784807,33.09637769784807,Projected
2027,0.40985576139823043,40.985576139823046,Projected
2028,0.4855661155031149,48.55661155031149,Projected
2029,0.5551156787735203,55.51156787735203,Projected
2030,0.6168013953638825,61.680139536388246,Projected
2031,0.670000929302443,67.0000929302443,Projected
2032,0.7148729218972193,71.48729218972193,Projected
2033,0.7520617971815069,75.2061797181507,Projected
2034,0.7824596015357225,78.24596015357224,Projected
2035,0.8070379320290952,80.70379320290952,Projected
2036,0.8267423739787275,82.67423739787276,Projected
2037,0.8424345142341298,84.24345142341298,Projected
2038,0.8548664585159506,85.48664585159506,Projected
2039,0.8646755963788304,86.46755963788304,Projected
2040,0.8723907729489898,87.23907729489898,Projected
