Year,Cars,Male,AgeGroup,City,TotalWeightedTrips,TotalWeightedKilometers,WeightedPersons,WeightedAverageTrips,WeightedAvgPartySizeCar,ShareTrips_Walk,ShareTrips_Bike,ShareTrips_Car,ShareTrips_PT,ShareKM_Walk,ShareKM_Bike,ShareKM_Car,ShareKM_PT
2007,0,0,0-17,0,65707.55065,597501.6732,20945.8732,3.137016539,2.113615313,0.18731871,0.270654208,0.331626131,0.210400951,0.017462094,0.074194262,0.63282356,0.275520083
2007,0,0,0-17,1,113314.7998,867432.6528,33108.72124,3.422506082,2.020441444,0.303486397,0.329969198,0.157005049,0.209539357,0.044476748,0.082299046,0.365877937,0.507346269
2007,0,0,18-30,0,26458.90492,482158.6898,9097.665945,2.908317923,1.220266869,0.131067262,0.105028657,0.429788051,0.334116031,0.008537758,0.01246495,0.360265526,0.618731766
2007,0,0,18-30,1,485188.1762,3934501.987,129601.9075,3.743680826,1.314455647,0.246022839,0.424817899,0.152821522,0.17633774,0.030351829,0.15070143,0.462675061,0.356271679
2007,0,0,31-55,0,36136.80148,317309.5919,11487.42889,3.14576933,0.74579048,0.403028397,0.24208225,0.180946693,0.17394266,0.043834672,0.067264242,0.466054652,0.422846434
2007,0,0,31-55,1,294532.7749,1869093.001,83046.4789,3.5466016,1.301208587,0.295535918,0.394052413,0.100379561,0.210032108,0.03766411,0.177301153,0.38274185,0.402292886
2007,0,0,56-65,0,30223.73979,430564.2872,9051.459691,3.339101186,1.3187693,0.209299713,0.350520891,0.24880669,0.191372705,0.011553824,0.05464894,0.555817944,0.377979292
2007,0,0,56-65,1,107794.3432,818855.5532,31037.08031,3.473082587,1.217414738,0.330769772,0.284308723,0.162514924,0.222406581,0.05013587,0.124327438,0.236577327,0.588959365
2007,0,0,66+,0,64026.69449,357820.4013,23017.88584,2.781606222,1.266748619,0.513552742,0.237675405,0.140393626,0.108378227,0.104656072,0.088100474,0.578140566,0.229102888
2007,0,0,66+,1,180507.81,1152646.843,63764.60257,2.830846625,1.815602605,0.422538341,0.219957576,0.110171097,0.247332985,0.078537597,0.059031559,0.38385016,0.478580684
2007,0,1,0-17,0,73463.93541,929163.7853,24295.55149,3.023760767,1.994075165,0.203458669,0.345253638,0.342456604,0.108831089,0.006518681,0.067776821,0.482750828,0.44295367
2007,0,1,0-17,1,94708.87059,442036.4737,26488.17008,3.575515798,1.985669427,0.350534821,0.382592021,0.166066481,0.100806677,0.042439251,0.164765768,0.63362838,0.159166601
2007,0,1,18-30,0,34026.73378,541384.9898,12398.76832,2.744364028,1.229558013,0.241055259,0.123989224,0.384084934,0.250870584,0.013495305,0.022067998,0.423451029,0.540985668
2007,0,1,18-30,1,371138.1962,3617874.861,111309.63,3.334286497,0.934264705,0.320123767,0.312804237,0.182968607,0.184103389,0.028474873,0.103438388,0.317505275,0.550581464
2007,0,1,31-55,0,28472.11064,241487.1132,10567.57973,2.6942887,0.916347795,0.310975502,0.293023992,0.251007783,0.144992723,0.030663876,0.078652805,0.528415091,0.362268228
2007,0,1,31-55,1,234880.7547,1493912.259,66234.65657,3.546191176,1.046436381,0.308172576,0.35483691,0.099332473,0.237658041,0.058413048,0.201506969,0.314068387,0.426011595
2007,0,1,56-65,0,15421.77736,111302.6215,4510.179747,3.419326551,0.922553897,0.407640787,0.339753109,0.150244763,0.102361341,0.0698461,0.094715232,0.317259347,0.518179322
2007,0,1,56-65,1,51531.09869,364450.187,15739.68334,3.27396032,1.599608621,0.35331934,0.352065315,0.093344187,0.201271158,0.05047034,0.210981375,0.279755573,0.458792712
2007,0,1,66+,0,12216.06959,71423.33569,5097.166792,2.396639171,1.774060832,0.490881917,0.268714676,0.106000862,0.134402545,0.070297051,0.093583555,0.193312151,0.642807244
2007,0,1,66+,1,68894.70981,544107.3157,24777.3877,2.780547757,2.585428601,0.359790526,0.293053779,0.13223191,0.214923785,0.064531857,0.12018197,0.320715879,0.494570293
2007,1,0,0-17,0,231846.8936,1930456.32,66339.36243,3.494861649,2.044682152,0.232498364,0.272915997,0.338467061,0.156118577,0.024254026,0.053001382,0.63613018,0.286614412
2007,1,0,0-17,1,270316.2147,1301418.841,74527.59002,3.627062336,1.914790857,0.233980894,0.425434079,0.213207048,0.12737798,0.047455028,0.168311069,0.555202842,0.229031061
2007,1,0,18-30,0,263844.369,4200668.274,67917.51324,3.884776641,0.822720921,0.101844737,0.030191003,0.780137449,0.08782681,0.009660232,0.005726189,0.830258812,0.154354767
2007,1,0,18-30,1,404208.4679,4485147.067,102399.0861,3.947383549,0.864757879,0.219634548,0.121487709,0.582454234,0.076423509,0.021880947,0.030692434,0.819618402,0.127808216
2007,1,0,31-55,0,1009865.426,14839817.29,260963.726,3.869754014,0.768965594,0.103728714,0.090018532,0.786311297,0.019941457,0.00964524,0.015521378,0.924514775,0.050318608
2007,1,0,31-55,1,1167689.502,12550228.03,286861.2196,4.070572885,0.84876296,0.153040789,0.143276881,0.658130686,0.045551644,0.016548855,0.031164683,0.82828069,0.124005772
2007,1,0,56-65,0,364789.9991,4616883.999,106146.2934,3.436672045,0.570816435,0.154551233,0.11059344,0.712679299,0.022176029,0.016421805,0.019320794,0.901476306,0.062781095
2007,1,0,56-65,1,343402.4639,4174887.62,103632.5618,3.313654107,0.606909389,0.186740191,0.153998132,0.607434914,0.051826764,0.021606081,0.035691884,0.877038973,0.065663062
2007,1,0,66+,0,248927.9856,2436993.05,77329.93926,3.219037646,0.589434678,0.169551655,0.146254641,0.664274838,0.019918867,0.023298597,0.035936876,0.870486895,0.070277631
2007,1,0,66+,1,246057.6855,2076548.622,73028.35226,3.369344616,0.664389769,0.215348757,0.115822913,0.618037595,0.050790736,0.028374817,0.033597911,0.848448632,0.08957864
2007,1,1,0-17,0,204535.8321,2086985.852,64138.94197,3.188949269,1.920032539,0.199600862,0.348853787,0.359467127,0.092078223,0.019763746,0.064023531,0.770311573,0.145901151
2007,1,1,0-17,1,235778.3601,1546675.647,69293.42987,3.40260773,1.948546906,0.262045684,0.387859819,0.255137702,0.094956795,0.033178377,0.121262634,0.702889117,0.142669872
2007,1,1,18-30,0,229760.9833,4787603.459,70741.1732,3.247910276,0.449335271,0.127094188,0.067057096,0.748390135,0.057458581,0.007017657,0.010344916,0.895530281,0.087107145
2007,1,1,18-30,1,347171.8868,5190419.426,98808.87391,3.513569916,0.524660067,0.131262255,0.126023738,0.660645347,0.08206866,0.010902924,0.025050814,0.782814936,0.181231326
2007,1,1,31-55,0,784137.1793,15788726.17,216147.6633,3.627784671,0.649583594,0.065524379,0.092969322,0.826497445,0.015008854,0.00375571,0.020970836,0.926377888,0.048895566
2007,1,1,31-55,1,1098647.7,18179176.57,298872.245,3.675977674,0.650686006,0.103679586,0.140128587,0.72252077,0.033671057,0.007514402,0.036189846,0.885045204,0.071250549
2007,1,1,56-65,0,319467.4983,6820356.735,96309.06383,3.317107295,0.449877566,0.089260813,0.082169636,0.809024461,0.019545091,0.005918617,0.00787648,0.962292183,0.02391272
2007,1,1,56-65,1,355134.1035,5346047.937,104036.5821,3.413550275,0.547777506,0.120809244,0.145769781,0.679628728,0.053792247,0.012122183,0.037497491,0.828344572,0.122035754
2007,1,1,66+,0,296671.1926,3664156.779,92934.84689,3.192249221,0.565035438,0.129198356,0.131239363,0.734857194,0.004705086,0.015949056,0.023636503,0.940061268,0.020353173
2007,1,1,66+,1,284791.0659,3314339.204,82812.4749,3.438987499,0.570492479,0.188170063,0.141186485,0.654499455,0.016143996,0.021368181,0.033064542,0.935812031,0.009755246
2007,2,0,0-17,0,79489.56309,878023.9977,25858.3572,3.07403763,1.812917922,0.188160794,0.21706558,0.408215364,0.186558262,0.019076401,0.058100803,0.674677604,0.248145192
2007,2,0,0-17,1,94822.79188,578333.9914,25484.13516,3.72085579,1.821926123,0.245333253,0.276951286,0.366749758,0.110965704,0.026882072,0.084454555,0.47645473,0.412208644
2007,2,0,18-30,0,129862.4385,1947793.556,31086.96333,4.177392211,0.860385335,0.071700151,0.038132308,0.846403955,0.043763585,0.006132708,0.014185269,0.87256437,0.107117653
2007,2,0,18-30,1,77858.92904,1038314.354,20646.79529,3.770993414,0.717974679,0.20122896,0.068369419,0.609872707,0.120528914,0.014352247,0.011082077,0.59392933,0.380636346
2007,2,0,31-55,0,494409.8433,7305546.79,112701.1337,4.386911001,0.707870947,0.078021922,0.038882016,0.877999621,0.005096442,0.005638248,0.005801575,0.963100182,0.025459995
2007,2,0,31-55,1,312199.7663,4013986.831,72573.00357,4.301871922,0.71446573,0.121197427,0.087302018,0.77125033,0.020250225,0.010579804,0.016436132,0.906510636,0.066473428
2007,2,0,56-65,0,85414.39779,1409920.586,23398.67727,3.650394285,0.487699861,0.204381197,0.060624058,0.712325249,0.022669495,0.015251724,0.015384104,0.918982198,0.050381974
2007,2,0,56-65,1,56061.18507,1026831.388,15362.55242,3.649210334,0.57475749,0.119403881,0.076254305,0.78532291,0.019018904,0.004648284,0.010882232,0.953563473,0.030906011
